Id,Question,Student_Answer
1050.541.291-65,14,A
1050.541.291-65,15,B
1050.541.291-65,16,A
1050.541.291-65,17,B
1050.541.291-65,18,C
1050.541.291-65,19,E
1050.541.291-65,20,D
1050.541.291-65,21,C
1050.541.291-65,22,E
1050.541.291-65,23,E
1050.541.291-65,24,A
1050.541.291-65,25,E
1050.541.291-65,26,E
1050.541.291-65,27,C
1050.541.291-65,28,D
1050.541.291-65,29,D
1050.541.291-65,30,E
1050.541.291-65,31,A
1050.541.291-65,32,D
1050.541.291-65,33,D
1050.541.291-65,34,D
1050.541.291-65,35,E
1050.541.291-65,36,E
1050.541.291-65,37,A
1050.541.291-65,38,C
1050.541.291-65,39,C
1050.541.291-65,40,C
1050.541.291-65,41,A
1050.541.291-65,42,D
1050.541.291-65,43,E
1050.541.291-65,44,C
1050.541.291-65,45,E
1050.541.291-65,46,C
1050.541.291-65,47,E
1050.541.291-65,48,B
1050.541.291-65,49,E
1050.541.291-65,50,C
1050.541.291-65,51,C
1050.541.291-65,52,E
1050.541.291-65,53,E
1050.541.291-65,54,C
1050.541.291-65,55,E
1050.541.291-65,56,B
1050.541.291-65,57,B
1050.541.291-65,58,B
1050.541.291-65,59,B
1050.541.291-65,60,E
10710.692.242-23,1,A
10710.692.242-23,2,C
10710.692.242-23,3,C
10710.692.242-23,4,C
10710.692.242-23,5,A
10710.692.242-23,6,B
10710.692.242-23,7,C
10710.692.242-23,8,D
10710.692.242-23,9,A
10710.692.242-23,10,D
10710.692.242-23,11,C
10710.692.242-23,12,A
10710.692.242-23,13,B
10710.692.242-23,14,B
10710.692.242-23,15,E
10710.692.242-23,16,E
10710.692.242-23,17,E
10710.692.242-23,18,B
10710.692.242-23,19,E
10710.692.242-23,20,E
10710.692.242-23,21,E
10710.692.242-23,22,D
10710.692.242-23,23,C
10710.692.242-23,24,B
10710.692.242-23,25,E
10710.692.242-23,26,A
10710.692.242-23,27,A
10710.692.242-23,28,B
10710.692.242-23,29,A
10710.692.242-23,30,D
10710.692.242-23,31,A
10710.692.242-23,32,B
10710.692.242-23,33,A
10710.692.242-23,34,A
10710.692.242-23,35,C
10710.692.242-23,36,D
10710.692.242-23,37,D
10710.692.242-23,38,C
10710.692.242-23,39,A
10710.692.242-23,40,A
10710.692.242-23,41,C
10710.692.242-23,42,A
10710.692.242-23,43,D
10710.692.242-23,44,D
10710.692.242-23,45,D
10710.692.242-23,46,B
10710.692.242-23,47,B
10710.692.242-23,48,D
10710.692.242-23,49,D
10710.692.242-23,50,B
10710.692.242-23,51,B
10710.692.242-23,52,D
10710.692.242-23,53,B
10710.692.242-23,54,A
10710.692.242-23,55,B
10710.692.242-23,56,C
10710.692.242-23,57,E
10710.692.242-23,58,B
10710.692.242-23,59,E
10710.692.242-23,60,B
1082.967.952-23,1,C
1082.967.952-23,2,A
1082.967.952-23,3,A
1082.967.952-23,4,D
1082.967.952-23,5,A
1082.967.952-23,6,B
1082.967.952-23,7,B
1082.967.952-23,8,C
1082.967.952-23,9,C
1082.967.952-23,10,D
1082.967.952-23,11,A
1082.967.952-23,12,E
1082.967.952-23,13,C
1082.967.952-23,14,B
1082.967.952-23,15,B
1082.967.952-23,16,B
1082.967.952-23,17,B
1082.967.952-23,18,D
1082.967.952-23,19,E
1082.967.952-23,20,A
1082.967.952-23,21,E
1082.967.952-23,22,B
1082.967.952-23,23,D
1082.967.952-23,24,E
1082.967.952-23,25,A
1082.967.952-23,26,A
1082.967.952-23,27,A
1082.967.952-23,28,D
1082.967.952-23,29,D
1082.967.952-23,30,C
1082.967.952-23,31,E
1082.967.952-23,32,A
1082.967.952-23,33,A
1082.967.952-23,34,A
1082.967.952-23,35,B
1082.967.952-23,36,D
1082.967.952-23,37,D
1082.967.952-23,38,D
1082.967.952-23,39,B
1082.967.952-23,40,B
1082.967.952-23,41,C
1082.967.952-23,42,C
1082.967.952-23,43,A
1082.967.952-23,44,C
1082.967.952-23,45,C
1082.967.952-23,46,E
1082.967.952-23,47,D
1082.967.952-23,48,D
1082.967.952-23,49,A
1082.967.952-23,50,B
1082.967.952-23,51,B
1082.967.952-23,52,E
1082.967.952-23,53,E
1082.967.952-23,54,E
1082.967.952-23,55,E
1082.967.952-23,56,D
1082.967.952-23,57,C
1082.967.952-23,58,C
1082.967.952-23,59,D
1082.967.952-23,60,A
1084.343.435-85,1,C
1084.343.435-85,2,E
1084.343.435-85,3,D
1084.343.435-85,4,D
1084.343.435-85,5,D
1084.343.435-85,6,B
1084.343.435-85,7,B
1084.343.435-85,8,D
1084.343.435-85,9,D
1084.343.435-85,10,E
1084.343.435-85,11,A
1084.343.435-85,12,C
1084.343.435-85,13,C
1084.343.435-85,14,D
1084.343.435-85,15,A
1084.343.435-85,16,C
1084.343.435-85,17,E
1084.343.435-85,18,A
1084.343.435-85,19,E
1084.343.435-85,20,B
1084.343.435-85,21,A
1084.343.435-85,22,A
1084.343.435-85,23,C
1084.343.435-85,24,A
1084.343.435-85,25,A
1084.343.435-85,26,E
1084.343.435-85,27,C
1084.343.435-85,28,A
1084.343.435-85,29,B
1084.343.435-85,30,E
1084.343.435-85,31,B
1084.343.435-85,32,A
1084.343.435-85,33,A
1084.343.435-85,34,C
1084.343.435-85,35,D
1084.343.435-85,36,E
1084.343.435-85,37,D
1084.343.435-85,38,E
1084.343.435-85,39,D
1084.343.435-85,40,E
1084.343.435-85,41,B
1084.343.435-85,42,C
1084.343.435-85,43,B
1084.343.435-85,44,B
1084.343.435-85,45,D
1084.343.435-85,46,B
1084.343.435-85,47,D
1084.343.435-85,48,A
1084.343.435-85,49,A
1084.343.435-85,50,D
1084.343.435-85,51,B
1084.343.435-85,52,B
1084.343.435-85,53,B
1084.343.435-85,54,E
1084.343.435-85,55,E
1084.343.435-85,56,D
1084.343.435-85,57,B
1084.343.435-85,58,B
1084.343.435-85,59,D
1084.343.435-85,60,E
1088.623.545-15,1,D
1088.623.545-15,2,D
1088.623.545-15,3,C
1088.623.545-15,4,E
1088.623.545-15,5,C
1088.623.545-15,6,A
1088.623.545-15,7,B
1088.623.545-15,8,A
1088.623.545-15,9,D
1088.623.545-15,10,E
1088.623.545-15,11,E
1088.623.545-15,12,E
1088.623.545-15,13,C
1088.623.545-15,14,C
1088.623.545-15,15,A
1088.623.545-15,16,E
1088.623.545-15,17,D
1088.623.545-15,18,B
1088.623.545-15,19,E
1088.623.545-15,20,B
1088.623.545-15,21,E
1088.623.545-15,22,B
1088.623.545-15,23,C
1088.623.545-15,24,A
1088.623.545-15,25,E
1088.623.545-15,26,B
1088.623.545-15,27,A
1088.623.545-15,28,D
1088.623.545-15,29,A
1088.623.545-15,30,E
1088.623.545-15,31,C
1088.623.545-15,32,B
1088.623.545-15,33,D
1088.623.545-15,34,D
1088.623.545-15,35,D
1088.623.545-15,36,C
1088.623.545-15,37,D
1088.623.545-15,38,D
1088.623.545-15,39,C
1088.623.545-15,40,A
1088.623.545-15,41,D
1088.623.545-15,42,E
1088.623.545-15,43,C
1088.623.545-15,44,D
1088.623.545-15,45,D
1088.623.545-15,46,A
1088.623.545-15,47,B
1088.623.545-15,48,A
1088.623.545-15,49,D
1088.623.545-15,50,D
1088.623.545-15,51,D
1088.623.545-15,52,E
1088.623.545-15,53,B
1088.623.545-15,54,C
1088.623.545-15,55,E
1088.623.545-15,56,D
1088.623.545-15,57,D
1088.623.545-15,58,D
1088.623.545-15,59,A
1088.623.545-15,60,D
142.101.996-84,1,E
142.101.996-84,2,D
142.101.996-84,3,E
142.101.996-84,4,C
142.101.996-84,5,C
142.101.996-84,6,B
142.101.996-84,7,C
142.101.996-84,8,E
142.101.996-84,9,D
142.101.996-84,10,D
142.101.996-84,11,D
142.101.996-84,12,B
142.101.996-84,13,C
142.101.996-84,14,D
142.101.996-84,15,A
142.101.996-84,16,D
142.101.996-84,17,B
142.101.996-84,18,E
142.101.996-84,19,A
142.101.996-84,20,C
142.101.996-84,21,E
142.101.996-84,22,E
142.101.996-84,23,E
142.101.996-84,24,D
142.101.996-84,25,D
142.101.996-84,26,D
142.101.996-84,27,E
142.101.996-84,28,A
142.101.996-84,29,B
142.101.996-84,30,E
142.101.996-84,31,B
142.101.996-84,32,E
142.101.996-84,33,B
142.101.996-84,34,D
142.101.996-84,35,A
142.101.996-84,36,D
142.101.996-84,37,A
142.101.996-84,38,A
142.101.996-84,39,E
142.101.996-84,40,A
142.101.996-84,41,E
142.101.996-84,42,B
142.101.996-84,43,A
142.101.996-84,44,B
142.101.996-84,45,D
142.101.996-84,46,E
142.101.996-84,47,D
142.101.996-84,48,B
142.101.996-84,49,B
142.101.996-84,50,D
142.101.996-84,51,E
142.101.996-84,52,B
142.101.996-84,53,C
142.101.996-84,54,E
142.101.996-84,55,B
142.101.996-84,56,C
142.101.996-84,57,E
142.101.996-84,58,C
142.101.996-84,59,D
142.101.996-84,60,C
143.626.132-16,1,E
143.626.132-16,2,D
143.626.132-16,3,C
143.626.132-16,4,A
143.626.132-16,5,A
143.626.132-16,6,B
143.626.132-16,7,A
143.626.132-16,8,B
143.626.132-16,9,E
143.626.132-16,10,B
143.626.132-16,11,C
143.626.132-16,12,B
143.626.132-16,13,B
143.626.132-16,14,D
143.626.132-16,15,E
143.626.132-16,16,E
143.626.132-16,17,B
143.626.132-16,18,C
143.626.132-16,19,D
143.626.132-16,20,E
143.626.132-16,21,A
143.626.132-16,22,E
143.626.132-16,23,D
143.626.132-16,24,C
143.626.132-16,25,E
143.626.132-16,26,C
143.626.132-16,27,C
143.626.132-16,28,E
143.626.132-16,29,D
143.626.132-16,30,A
143.626.132-16,31,C
143.626.132-16,32,D
143.626.132-16,33,E
143.626.132-16,34,B
143.626.132-16,35,D
143.626.132-16,36,C
143.626.132-16,37,A
143.626.132-16,38,E
143.626.132-16,39,B
143.626.132-16,40,E
143.626.132-16,41,D
143.626.132-16,42,A
143.626.132-16,43,A
143.626.132-16,44,B
143.626.132-16,45,E
143.626.132-16,46,E
143.626.132-16,47,D
143.626.132-16,48,C
143.626.132-16,49,C
143.626.132-16,50,A
143.626.132-16,51,B
143.626.132-16,52,E
143.626.132-16,53,A
143.626.132-16,54,B
143.626.132-16,55,A
143.626.132-16,56,C
143.626.132-16,57,A
143.626.132-16,58,C
143.626.132-16,59,D
143.626.132-16,60,A
157.145.658-62,1,B
157.145.658-62,2,B
157.145.658-62,3,E
157.145.658-62,4,C
157.145.658-62,5,E
157.145.658-62,6,D
157.145.658-62,7,D
157.145.658-62,8,A
157.145.658-62,9,A
157.145.658-62,10,B
157.145.658-62,11,C
157.145.658-62,12,D
157.145.658-62,13,D
157.145.658-62,14,D
157.145.658-62,15,B
157.145.658-62,16,B
157.145.658-62,17,E
157.145.658-62,18,B
157.145.658-62,19,A
157.145.658-62,20,D
157.145.658-62,21,D
157.145.658-62,22,B
157.145.658-62,23,E
157.145.658-62,24,D
157.145.658-62,25,D
157.145.658-62,26,E
157.145.658-62,27,C
157.145.658-62,28,A
157.145.658-62,29,A
157.145.658-62,30,C
157.145.658-62,31,A
157.145.658-62,32,B
157.145.658-62,33,A
157.145.658-62,34,E
157.145.658-62,35,C
157.145.658-62,36,D
157.145.658-62,37,D
157.145.658-62,38,A
157.145.658-62,39,D
157.145.658-62,40,A
157.145.658-62,41,D
157.145.658-62,42,B
157.145.658-62,43,D
157.145.658-62,44,A
157.145.658-62,45,A
157.145.658-62,46,D
157.145.658-62,47,E
157.145.658-62,48,B
157.145.658-62,49,B
157.145.658-62,50,B
157.145.658-62,51,B
157.145.658-62,52,C
157.145.658-62,53,A
157.145.658-62,54,D
157.145.658-62,55,B
157.145.658-62,56,D
157.145.658-62,57,E
157.145.658-62,58,C
157.145.658-62,59,C
157.145.658-62,60,A
158.123.1023-65,1,C
158.123.1023-65,2,C
158.123.1023-65,3,B
158.123.1023-65,4,C
158.123.1023-65,5,A
158.123.1023-65,6,B
158.123.1023-65,7,A
158.123.1023-65,8,B
158.123.1023-65,9,A
158.123.1023-65,10,B
158.123.1023-65,11,B
158.123.1023-65,12,B
158.123.1023-65,13,C
158.123.1023-65,14,D
158.123.1023-65,15,D
158.123.1023-65,16,C
158.123.1023-65,17,C
158.123.1023-65,18,D
158.123.1023-65,19,B
158.123.1023-65,20,C
158.123.1023-65,21,C
158.123.1023-65,22,E
158.123.1023-65,23,A
158.123.1023-65,24,B
158.123.1023-65,25,B
158.123.1023-65,26,D
158.123.1023-65,27,B
158.123.1023-65,28,E
158.123.1023-65,29,E
158.123.1023-65,30,A
158.123.1023-65,31,B
158.123.1023-65,32,A
158.123.1023-65,33,C
158.123.1023-65,34,E
158.123.1023-65,35,A
158.123.1023-65,36,E
158.123.1023-65,37,E
158.123.1023-65,38,D
158.123.1023-65,39,A
158.123.1023-65,40,E
158.123.1023-65,41,A
158.123.1023-65,42,B
158.123.1023-65,43,D
158.123.1023-65,44,E
158.123.1023-65,45,D
158.123.1023-65,46,B
158.123.1023-65,47,C
158.123.1023-65,48,C
158.123.1023-65,49,D
158.123.1023-65,50,E
158.123.1023-65,51,C
158.123.1023-65,52,B
158.123.1023-65,53,A
158.123.1023-65,54,A
158.123.1023-65,55,A
158.123.1023-65,56,E
158.123.1023-65,57,B
158.123.1023-65,58,B
158.123.1023-65,59,D
158.123.1023-65,60,B
159.1009.987-32,1,B
159.1009.987-32,2,E
159.1009.987-32,3,D
159.1009.987-32,4,E
159.1009.987-32,5,D
159.1009.987-32,6,D
159.1009.987-32,7,E
159.1009.987-32,8,E
159.1009.987-32,9,B
159.1009.987-32,10,D
159.1009.987-32,11,B
159.1009.987-32,12,C
159.1009.987-32,13,D
